psnr,ssim,Epoch
0.8793951869010925,18.562007109243382,1.0
0.8760917782783508,19.13420736165938,2.0
0.8438182473182678,16.969856208770974,3.0
0.8722146153450012,21.104987285237627,4.0
0.8464546203613281,17.808728542378468,5.0
0.8845552802085876,21.732383452070426,6.0
0.881751537322998,20.22333128565743,7.0
0.8751230239868164,19.153534691513244,8.0
0.8534900546073914,17.93113464988561,9.0
0.8341996073722839,17.525190442049812,10.0
0.8389140963554382,16.782103627634825,11.0
0.8561403751373291,18.705124584702407,12.0
0.8391810059547424,17.603800757348022,13.0
0.8686972260475159,18.27548570764463,14.0
0.8834469318389893,18.83465438855566,15.0
0.8727424740791321,18.270253086028653,16.0
0.8539926409721375,17.76154669808834,17.0
0.8711912631988525,20.09368082219271,18.0
0.8698618412017822,18.026930111647065,19.0
0.8713391423225403,20.219209910955737,20.0
0.8814581036567688,21.348588717669543,21.0
0.8910524249076843,21.673212319317994,22.0
0.8626359105110168,18.46409066464118,23.0
0.8772510886192322,21.002918593404303,24.0
0.8476772904396057,17.564078345715725,25.0
0.8607271313667297,17.74598110497547,26.0
0.8741901516914368,18.79373009013949,27.0
0.8653166890144348,19.7307636912706,28.0
0.8579480648040771,18.81088152529202,29.0
0.8678839802742004,20.65243264386153,30.0
0.8526093363761902,18.407002302380914,31.0
0.8863296508789062,19.803712079995965,32.0
0.8588879704475403,18.887976644397867,33.0
0.8775848746299744,20.743051427833848,34.0
0.8222079277038574,15.70262732508774,35.0
0.8499965071678162,17.459953627857423,36.0
0.8316122889518738,16.80675655646597,37.0
0.8814933896064758,18.687336886286605,38.0
0.8594308495521545,19.579636019099386,39.0
0.8825942873954773,21.396581407352393,40.0
0.8580612540245056,17.60699369221847,41.0
0.8906635642051697,21.793747305056886,42.0
0.8739492297172546,18.349236688900298,43.0
0.8915438055992126,19.394877111087997,44.0
0.841934859752655,16.944017090066858,45.0
